Date;PS;AD;Chega;Iniciativa Liberal;Bloco de Esquerda
2024-02-09;26;35;68;10;9
2024-02-10;38;37;68;11;9
2024-02-11;66;52;42;7;4
2024-02-12;55;54;58;8;5
2024-02-13;45;48;100;12;22
2024-02-14;69;44;99;11;14
2024-02-15;39;24;49;10;0
2024-02-16;39;28;44;10;6
2024-02-17;39;34;57;10;9
2024-02-18;38;59;44;12;6
2024-02-19;77;80;40;11;0
2024-02-20;65;52;46;18;8
2024-02-21;36;24;36;7;4
2024-02-22;30;34;53;6;0
2024-02-23;35;34;59;16;10
2024-02-24;37;37;32;16;12
2024-02-25;41;44;38;14;7
2024-02-26;35;44;43;16;6
2024-02-27;42;39;40;15;5
2024-02-28;40;49;45;14;9
2024-02-29;37;39;39;12;7
2024-03-01;41;47;40;14;8
2024-03-02;52;49;50;16;9
2024-03-03;55;51;51;26;11
2024-03-04;50;39;44;17;12
2024-03-05;44;45;55;16;9
2024-03-06;46;56;54;16;10
2024-03-07;46;56;52;17;9
2024-03-08;65;71;74;27;11
2024-03-09;62;78;86;38;15